n_replicates,DepMap_ID,cell_line_SSMD,culture_type,culture_medium,aliases,CCLE_name,primary_tissue,secondary_tissue,tertiary_tissue,cas9_activity
2,ACH-000007,-1.5781172909975818,Adherent,RPMI 1640 + 10% FBS,LS513,LS513_LARGE_INTESTINE,colorectal,,,52.3
3,ACH-000009,-1.1234221856265931,Adherent,D10+ITS+Glu,C2BBe1,C2BBE1_LARGE_INTESTINE,colorectal,,,5.8
1,ACH-000011,-1.837362198674908,Adherent,DMEM: 90.0%,253J,253J_URINARY_TRACT,urinary_tract,,,11
3,ACH-000012,-2.0951554614571197,Adherentepithelialdensity >30%,RPMI; 10% FBS,HCC827,HCC827_LUNG,lung,lung_NSC,lung_adenocarcinoma,12.7
2,ACH-000013,-1.3904593417862694,Adherent,RPMI; 10% FBS,ONCO-DG-1,ONCODG1_OVARY,ovary,ovary_adenocarcinoma,ovary_high_grade_serous,8
2,ACH-000015,-1.5906947445543251,Adherent,DMEM:F12 (1:1); 5% FBS,"NCI-H1581, NCI-H2077",NCIH1581_LUNG,lung,lung_NSC,lung_large,52.8
2,ACH-000017,-1.188378929762899,Semi-adherent,McCoy's 5A; 10% FBS,SK-BR-3,SKBR3_BREAST,breast,HER2Amp,,27.1
2,ACH-000018,-1.456701237384612,Adherent,McCoy 5A: 90.0%,T24,T24_URINARY_TRACT,urinary_tract,,,34.8
4,ACH-000021,-1.183480916488349,Adherent,RPMI; 10% FBS,NCI-H1693,NCIH1693_LUNG,lung,lung_NSC,lung_adenocarcinoma,14.1
2,ACH-000022,-1.351753855837497,Adherent,"DMEM: 90.0%;10%FBS, 2mMGlutamax",PA-TU-8988S,PATU8988S_PANCREAS,pancreas,,,6.3
2,ACH-000025,-1.509283363619183,Semi-adherent,DMEM; 10% FBS,CH-157MN,CH157MN_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,meningioma,,7.2
3,ACH-000028,-2.414414061545697,Adherent,DMEM;10% FBS; ,KPL-1,KPL1_BREAST,breast,ERpos,,30.4
3,ACH-000030,-1.5205521605736003,Adherent,RPMI; 10% FBS,PC-14,PC14_LUNG,lung,lung_NSC,lung_adenocarcinoma,8.4
2,ACH-000035,-1.5529651298480551,Adherent,RPMI; 10% FBS,NCI-H1650,NCIH1650_LUNG,lung,lung_NSC,lung_adenocarcinoma,8.5
2,ACH-000036,-1.5464617679134751,Adherent,DMEM; 10% FBS,U343,U343_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,glioblastoma,17.8
2,ACH-000037,-0.7248627512359811,Adherent,RPMI; 10% FBS,S-117,S117_THYROID,thyroid,thyroid_sarcoma,,23.6
3,ACH-000039,-0.8644646501289902,Adherent,EMEM: 10%FBS,SK-N-MC,SKNMC_BONE,bone,Ewing_sarcoma,,34.7
2,ACH-000040,-1.0038880960483676,Adherent,DMEM; 10% FBS,U-118 MG,U118MG_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,astrocytoma,30.9
2,ACH-000041,-1.6788635254385371,,,RD-ES,RDES_BONE,bone,Ewing_sarcoma,,11.7
4,ACH-000042,-1.3899191650715117,Adherent,"RPMI-1640,10%FBS, 1mM sodium pyruvate",Panc 02.03,PANC0203_PANCREAS,pancreas,,,11.1
2,ACH-000045,-2.47538573277418,Suspension,IMDM; 10% FBS,"MV4;11, MV-4-11",MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,leukemia,AML,,11
2,ACH-000047,-2.051655262201426,Adherent,MEM; 15% FBS,GCIY,GCIY_STOMACH,gastric,gastric_adenocarcinoma,,10.4
2,ACH-000052,-1.0171007661940843,Adherent,DMEM; 10% FBS,A-673,A673_BONE,bone,Ewing_sarcoma,,32.8
