"","DepMap_ID","Cell_line","CCLE_name","CCLE_histology","disease"
"1","ACH-000001","NIHOVCAR3","NIHOVCAR3_OVARY","ovary","ovarian"
"2","ACH-000002","HL60","HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"3","ACH-000003","CACO2","CACO2_LARGE_INTESTINE","large_intestine","colorectal"
"4","ACH-000004","HEL","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"5","ACH-000005","HEL9217","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"6","ACH-000006","MONOMAC6","MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"7","ACH-000007","LS513","LS513_LARGE_INTESTINE","large_intestine","colorectal"
"8","ACH-000008","A101D","A101D_SKIN","skin","skin"
"9","ACH-000009","C2BBE1","C2BBE1_LARGE_INTESTINE","large_intestine","colorectal"
"10","ACH-000010","NCIH2077","NCIH2077_LUNG","lung","lung"
"11","ACH-000011","253J","253J_URINARY_TRACT","urinary_tract","urinary_tract"
"12","ACH-000012","HCC827","HCC827_LUNG","lung","lung"
"13","ACH-000013","ONCODG1","ONCODG1_OVARY","ovary","ovarian"
"14","ACH-000014","HS294T","HS294T_SKIN","skin","skin"
"15","ACH-000015","NCIH1581","NCIH1581_LUNG","lung","lung"
"16","ACH-000016","SLR21","SLR21_KIDNEY","kidney","kidney"
"17","ACH-000017","SKBR3","SKBR3_BREAST","breast","breast"
"18","ACH-000018","T24","T24_URINARY_TRACT","urinary_tract","urinary_tract"
"19","ACH-000019","MCF7","MCF7_BREAST","breast","breast"
"20","ACH-000020","MHHCALL2","MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"21","ACH-000021","NCIH1693","NCIH1693_LUNG","lung","lung"
"22","ACH-000022","PATU8988S","PATU8988S_PANCREAS","pancreas","pancreas"
"23","ACH-000023","PATU8988T","PATU8988T_PANCREAS","pancreas","pancreas"
"24","ACH-000024","OPM2","OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"25","ACH-000025","CH157MN","CH157MN_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
"26","ACH-000026","253JBV","253JBV_URINARY_TRACT","urinary_tract","urinary_tract"
"27","ACH-000027","GOS3","GOS3_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
"28","ACH-000028","KPL1","KPL1_BREAST","breast","breast"
"29","ACH-000029","HCC827GR5","HCC827GR5_LUNG","lung","lung"
"30","ACH-000030","PC14","PC14_LUNG","lung","lung"
"31","ACH-000031","PANC0213","PANC0213_PANCREAS","pancreas","pancreas"
"32","ACH-000032","MHHCALL3","MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"33","ACH-000033","NCIH1819","NCIH1819_LUNG","lung","lung"
"34","ACH-000034","PLB985","PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"35","ACH-000035","NCIH1650","NCIH1650_LUNG","lung","lung"
"36","ACH-000036","U343","U343_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
"37","ACH-000037","S117","S117_THYROID","thyroid","thyroid"
"38","ACH-000038","EHEB","EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"39","ACH-000039","SKNMC","SKNMC_BONE","bone","bone"
"40","ACH-000040","U118MG","U118MG_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
"41","ACH-000041","RDES","RDES_BONE","bone","bone"
"42","ACH-000042","PANC0203","PANC0203_PANCREAS","pancreas","pancreas"
"43","ACH-000043","HS895T","HS895T_FIBROBLAST","fibroblast","fibroblast"
"44","ACH-000044","MDAMB134VI","MDAMB134VI_BREAST","breast","breast"
"45","ACH-000045","MV411","MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"46","ACH-000046","ACHN","ACHN_KIDNEY","kidney","kidney"
"47","ACH-000047","GCIY","GCIY_STOMACH","stomach","gastric"
"48","ACH-000048","TOV112D","TOV112D_OVARY","ovary","ovarian"
"49","ACH-000049","HEKTE","HEKTE_KIDNEY","kidney","kidney"
"50","ACH-000050","NCIH929","NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
