"","DepMap_ID","Cell_line","CCLE_histology","CCLE_name","disease","TCGA_classification","grouped_general_doid"
"1","ACH-000001","NIHOVCAR3","ovary","NIHOVCAR3_OVARY","ovary","OV","DOID:2394"
"2","ACH-000002","HL60","haematopoietic_and_lymphoid_tissue","HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LAML","DOID:1240"
"3","ACH-000003","CACO2","large_intestine","CACO2_LARGE_INTESTINE","colorectal","COADREAD",NA
"4","ACH-000004","HEL","haematopoietic_and_lymphoid_tissue","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LAML","DOID:1240"
"5","ACH-000005","HEL9217","haematopoietic_and_lymphoid_tissue","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LAML","DOID:0060058"
"6","ACH-000006","MONOMAC6","haematopoietic_and_lymphoid_tissue","MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LAML","DOID:1240"
"7","ACH-000007","LS513","large_intestine","LS513_LARGE_INTESTINE","colorectal","COADREAD","DOID:9256"
"8","ACH-000008","A101D","skin","A101D_SKIN","skin","SKCM","DOID:4159"
"9","ACH-000009","C2BBE1","large_intestine","C2BBE1_LARGE_INTESTINE","colorectal","COADREAD","DOID:9256"
"10","ACH-000010","NCIH2077","lung","NCIH2077_LUNG","lung","LUAD","DOID:1324"
"11","ACH-000011","253J","urinary_tract","253J_URINARY_TRACT","urinary_tract","BLCA","DOID:11054"
"12","ACH-000012","HCC827","lung","HCC827_LUNG","lung","LUAD","DOID:1324"
"13","ACH-000013","ONCODG1","ovary","ONCODG1_OVARY","ovary","OV","DOID:2394"
"14","ACH-000014","HS294T","skin","HS294T_SKIN","skin","SKCM","DOID:4159"
"15","ACH-000015","NCIH1581","lung","NCIH1581_LUNG","lung",NA,"DOID:1324"
"16","ACH-000016","SLR21","kidney","SLR21_KIDNEY","kidney","KIRC","DOID:263"
"17","ACH-000017","SKBR3","breast","SKBR3_BREAST","breast","BRCA","DOID:1612"
"18","ACH-000018","T24","urinary_tract","T24_URINARY_TRACT","urinary_tract","BLCA","DOID:11054"
"19","ACH-000019","MCF7","breast","MCF7_BREAST","breast","BRCA","DOID:1612"
"20","ACH-000020","MHHCALL2","haematopoietic_and_lymphoid_tissue","MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","ALL","DOID:1240"
"21","ACH-000021","NCIH1693","lung","NCIH1693_LUNG","lung","LUAD","DOID:1324"
"22","ACH-000022","PATU8988S","pancreas","PATU8988S_PANCREAS","pancreas","PAAD","DOID:1793"
"23","ACH-000023","PATU8988T","pancreas","PATU8988T_PANCREAS","pancreas","PAAD","DOID:1793"
"24","ACH-000024","OPM2","haematopoietic_and_lymphoid_tissue","OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","MM","DOID:9538"
"25","ACH-000025","CH157MN","central_nervous_system","CH157MN_CENTRAL_NERVOUS_SYSTEM","central_nervous_system",NA,"DOID:3620"
"26","ACH-000026","253JBV","urinary_tract","253JBV_URINARY_TRACT","urinary_tract","BLCA","DOID:11054"
"27","ACH-000027","GOS3","central_nervous_system","GOS3_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"28","ACH-000028","KPL1","breast","KPL1_BREAST","breast","BRCA","DOID:1612"
"29","ACH-000029","HCC827GR5","lung","HCC827GR5_LUNG","lung","LUAD","DOID:1324"
"30","ACH-000030","PC14","lung","PC14_LUNG","lung","LUAD","DOID:1324"
"31","ACH-000031","PANC0213","pancreas","PANC0213_PANCREAS","pancreas","PAAD","DOID:1793"
"32","ACH-000032","MHHCALL3","haematopoietic_and_lymphoid_tissue","MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","ALL","DOID:1240"
"33","ACH-000033","NCIH1819","lung","NCIH1819_LUNG","lung","LUAD","DOID:1324"
"34","ACH-000034","PLB985","haematopoietic_and_lymphoid_tissue","PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LAML","DOID:1240"
"35","ACH-000035","NCIH1650","lung","NCIH1650_LUNG","lung","LUAD","DOID:1324"
"36","ACH-000036","U343","central_nervous_system","U343_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"37","ACH-000037","S117","thyroid","S117_THYROID","thyroid","SARC","DOID:1781"
"38","ACH-000038","EHEB","haematopoietic_and_lymphoid_tissue","EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","CLL","DOID:0060058"
"39","ACH-000039","SKNMC","bone","SKNMC_BONE","bone","SARC","DOID:184"
"40","ACH-000040","U118MG","central_nervous_system","U118MG_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"41","ACH-000041","RDES","bone","RDES_BONE","bone","SARC","DOID:184"
"42","ACH-000042","PANC0203","pancreas","PANC0203_PANCREAS","pancreas","PAAD","DOID:1793"
"43","ACH-000043","HS895T","fibroblast","HS895T_FIBROBLAST","fibroblast","SKCM","DOID:4159"
"44","ACH-000044","MDAMB134VI","breast","MDAMB134VI_BREAST","breast","BRCA","DOID:1612"
"45","ACH-000045","MV411","haematopoietic_and_lymphoid_tissue","MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LAML","DOID:1240"
"46","ACH-000046","ACHN","kidney","ACHN_KIDNEY","kidney","KIRC","DOID:263"
"47","ACH-000047","GCIY","stomach","GCIY_STOMACH","gastric","STAD","DOID:10534"
"48","ACH-000048","TOV112D","ovary","TOV112D_OVARY","ovary","OV","DOID:2394"
"49","ACH-000049","HEKTE","kidney","HEKTE_KIDNEY","kidney","KIRC","DOID:263"
"50","ACH-000050","NCIH929","haematopoietic_and_lymphoid_tissue","NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","MM","DOID:9538"
"51","ACH-000051","TE617T","soft_tissue","TE617T_SOFT_TISSUE","rhabdomyosarcoma","SARC","DOID:3247"
"52","ACH-000052","A673","bone","A673_BONE","bone","SARC","DOID:184"
"53","ACH-000053","KARPAS299","haematopoietic_and_lymphoid_tissue","KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid",NA,"DOID:1240"
"54","ACH-000054","HT1080","soft_tissue","HT1080_SOFT_TISSUE","soft_tissue","SARC","DOID:162"
"55","ACH-000055","D283MED","central_nervous_system","D283MED_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","MB","DOID:3620"
"56","ACH-000056","DOHH2","haematopoietic_and_lymphoid_tissue","DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","DLBC","DOID:0060058"
"57","ACH-000057","OPM1","haematopoietic_and_lymphoid_tissue","OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","MM","DOID:9538"
"58","ACH-000058","ML1","thyroid","ML1_THYROID","thyroid","THCA","DOID:1781"
"59","ACH-000059","SUPB15","haematopoietic_and_lymphoid_tissue","SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","ALL","DOID:1240"
"60","ACH-000060","PANC1005","pancreas","PANC1005_PANCREAS","pancreas","PAAD","DOID:1793"
"61","ACH-000061","HH","haematopoietic_and_lymphoid_tissue","HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","ALL","DOID:0060058"
"62","ACH-000062","RERFLCMS","lung","RERFLCMS_LUNG","lung","LUAD","DOID:1324"
