CCLE_Name	Broad_ID
[MERGED_TO_ACH-000109]H3255_LUNG	ACH-002137
[MERGED_TO_ACH-000474]NCIH292_LUNG	ACH-000474
184B5_BREAST	ACH-001827
921_UVEA	ACH-001441
ARH77_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-002210
BB30PBL_MATCHED_NORMAL_TISSUE	ACH-002342
BB49EBV_MATCHED_NORMAL_TISSUE	ACH-002343
BB65EBV_MATCHED_NORMAL_TISSUE	ACH-002344
C10_LARGE_INTESTINE	ACH-001454
C75_LARGE_INTESTINE	ACH-001458
C80_LARGE_INTESTINE	ACH-001459
CACO2_LARGE_INTESTINE	ACH-000003
COLO829_MATCHED_NORMAL_TISSUE	ACH-002380
CP50EBV_MATCHED_NORMAL_TISSUE	ACH-002346
CP66EBV_MATCHED_NORMAL_TISSUE	ACH-002347
DIPG007_CENTRAL_NERVOUS_SYSTEM	ACH-002348
DL_SOFT_TISSUE	ACH-001059
DOK_HEAD_AND_NECK	ACH-002234
EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000038
GBM001_CENTRAL_NERVOUS_SYSTEM	ACH-002349
GT3TKB_STOMACH	ACH-002122
HA7EBV_MATCHED_NORMAL_TISSUE	ACH-002350
HCC1143_MATCHED_NORMAL_TISSUE	ACH-002378
HCC1187_MATCHED_NORMAL_TISSUE	ACH-002373
HCC1395_MATCHED_NORMAL_TISSUE	ACH-002382
HCC1599_MATCHED_NORMAL_TISSUE	ACH-002374
HCC1937_MATCHED_NORMAL_TISSUE	ACH-002375
HCC1954_MATCHED_NORMAL_TISSUE	ACH-002384
HCC2157_MATCHED_NORMAL_TISSUE	ACH-002381
HCC2218_MATCHED_NORMAL_TISSUE	ACH-002383
HCC38_MATCHED_NORMAL_TISSUE	ACH-002377
HCET_UPPER_AERODIGESTIVE_TRACT	ACH-002336
HK2_KIDNEY	ACH-001087
IM9_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-002247
J82_MATCHED_NORMAL_TISSUE	ACH-002379
JR_SOFT_TISSUE	ACH-001096
L542_MATCHED_NORMAL_TISSUE	ACH-002351
LB1047EBV_MATCHED_NORMAL_TISSUE	ACH-002352
LB2241EBV_MATCHED_NORMAL_TISSUE	ACH-002353
LB2518EBV_MATCHED_NORMAL_TISSUE	ACH-002354
LB373EBV_MATCHED_NORMAL_TISSUE	ACH-002355
LB647PBL_MATCHED_NORMAL_TISSUE	ACH-002356
LB771PBL_MATCHED_NORMAL_TISSUE	ACH-002357
LB831EBV_MATCHED_NORMAL_TISSUE	ACH-002358
LB996EBV_MATCHED_NORMAL_TISSUE	ACH-002359
LS1034_MATCHED_NORMAL_TISSUE	ACH-002376
MB1_THYROID	ACH-001356
MB157_BREAST	ACH-001120
MCCAR_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-002270
MON_SOFT_TISSUE	CH-001128
MS1_LUNG	ACH-001958
MZ1B_MATCHED_NORMAL_TISSUE	ACH-002360
MZ7B_MATCHED_NORMAL_TISSUE	ACH-002361
NCIBL128_MATCHED_NORMAL_TISSUE	ACH-002362
NCIBL1395_MATCHED_NORMAL_TISSUE	ACH-002363
NCIBL1437_MATCHED_NORMAL_TISSUE	ACH-002364
NCIBL1770_MATCHED_NORMAL_TISSUE	ACH-002365
NCIBL2009_MATCHED_NORMAL_TISSUE	ACH-002366
NCIBL2052_MATCHED_NORMAL_TISSUE	ACH-002367
NCIBL2087_MATCHED_NORMAL_TISSUE	ACH-00236
NCIBL2009_MATCHED_NORMAL_TISSUE	ACH-002369
NCIBL2122_MATCHED_NORMAL_TISSUE	ACH-002370
NCIBL2126_MATCHED_NORMAL_TISSUE	ACH-002371
NCIBL2171_MATCHED_NORMAL_TISSUE	ACH-002372
NCIH630_LARGE_INTESTINE	ACH-002287
NHAHTDD_CENTRAL_NERVOUS_SYSTEM	ACH-001142
PWR1E_PROSTATE	ACH-001383
RH4_SOFT_TISSUE	ACH-001765
RMS13_SOFT_TISSUE	ACH-001741
RPMI6666_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-001182
SCI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-002303
SJRH30_SOFT_TISSUE	ACH-001189
SR_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-001665
