"","DepMap_ID","CCL_name","COSMIC_ID","TCGA_combine","TCGA_manual","primary_DepMap","subtype_DepMap","primary_site_CTRP","primary_hist_CTRP","subtype_CTRP","tissue1_GDSC","tissue2_GDSC","TCGA_CCLE","TCGA_GDSC"
"38","ACH-000209","SNU1079",NA,NA,NA,"Bile Duct Cancer","Cholangiocarcinoma","biliary_tract","carcinoma",NA,NA,NA,NA,NA
"258","ACH-001494","EGI1",906853,NA,NA,"Bile Duct Cancer","Cholangiocarcinoma",NA,NA,NA,"digestive_system","biliary_tract",NA,NA
"270","ACH-001538","KKU213",NA,NA,NA,"Bile Duct Cancer","Cholangiocarcinoma",NA,NA,NA,NA,NA,NA,NA
"47","ACH-000268","SNU245",NA,NA,NA,"Bile Duct Cancer","Cholangiocarcinoma, extrahepatic","biliary_tract","carcinoma",NA,NA,NA,NA,NA
"67","ACH-000461","SNU1196",NA,NA,NA,"Bile Duct Cancer","Cholangiocarcinoma, extrahepatic","biliary_tract","carcinoma",NA,NA,NA,NA,NA
"269","ACH-001536","KKU100",NA,NA,NA,"Bile Duct Cancer","Cholangiocarcinoma, extrahepatic",NA,NA,NA,NA,NA,NA,NA
"301","ACH-001673","TFK1",NA,NA,NA,"Bile Duct Cancer","Cholangiocarcinoma, extrahepatic",NA,NA,NA,NA,NA,NA,NA
"30","ACH-000182","SNU869",NA,NA,NA,"Bile Duct Cancer","Cholangiocarcinoma, extrahepatic, ampullary","biliary_tract","carcinoma",NA,NA,NA,NA,NA
"56","ACH-000377","SNU478",NA,NA,NA,"Bile Duct Cancer","Cholangiocarcinoma, extrahepatic, ampullary","biliary_tract","carcinoma",NA,NA,NA,NA,NA
"129","ACH-000976","HUCCT1",907069,NA,NA,"Bile Duct Cancer","Cholangiocarcinoma, intrahepatic","biliary_tract","carcinoma",NA,"digestive_system","biliary_tract",NA,NA
"113","ACH-000808","HUH28",NA,NA,NA,"Bile Duct Cancer","Cholangiocarcinoma, intrahepatic","biliary_tract","carcinoma",NA,NA,NA,NA,NA
"367","ACH-002237","ETK1",906861,NA,NA,"Bile Duct Cancer","Cholangiocarcinoma, intrahepatic",NA,NA,NA,"digestive_system","biliary_tract",NA,NA
"318","ACH-001842","ICC2",NA,NA,NA,"Bile Duct Cancer","Cholangiocarcinoma, intrahepatic",NA,NA,NA,NA,NA,NA,NA
"235","ACH-001411","UMUC5",NA,NA,NA,"Bladder Cancer","Squamous Cell Carcinoma",NA,NA,NA,NA,NA,NA,NA
"231","ACH-001407","UMUC13",NA,NA,NA,"Bladder Cancer","Transitional Cell Carcinoma",NA,NA,NA,NA,NA,NA,NA
"232","ACH-001408","UMUC14",NA,NA,NA,"Bladder Cancer","Transitional Cell Carcinoma",NA,NA,NA,NA,NA,NA,NA
"233","ACH-001409","UMUC16",NA,NA,NA,"Bladder Cancer","Transitional Cell Carcinoma",NA,NA,NA,NA,NA,NA,NA
"234","ACH-001410","UMUC4",NA,NA,NA,"Bladder Cancer","Transitional Cell Carcinoma",NA,NA,NA,NA,NA,NA,NA
"236","ACH-001412","UMUC10",NA,NA,NA,"Bladder Cancer","Transitional Cell Carcinoma",NA,NA,NA,NA,NA,NA,NA
"237","ACH-001413","UMUC11",NA,NA,NA,"Bladder Cancer","Transitional Cell Carcinoma",NA,NA,NA,NA,NA,NA,NA
"238","ACH-001414","UMUC6",NA,NA,NA,"Bladder Cancer","Transitional Cell Carcinoma",NA,NA,NA,NA,NA,NA,NA
