"","Cell_line","Histology","TCGA_classification","CCLE_Name","Broad_ID"
"1","NIHOVCAR3","ovary","OV","NIHOVCAR3_OVARY","ACH-000001"
"2","HL60","haematopoietic_and_lymphoid_tissue","LAML","HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000002"
"3","CACO2","large_intestine","COADREAD","CACO2_LARGE_INTESTINE","ACH-000003"
"4","HEL","haematopoietic_and_lymphoid_tissue","LAML","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000004"
"5","HEL9217","haematopoietic_and_lymphoid_tissue","LAML","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000005"
"6","MONOMAC6","haematopoietic_and_lymphoid_tissue","LAML","MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000006"
"7","LS513","large_intestine","COADREAD","LS513_LARGE_INTESTINE","ACH-000007"
"8","A101D","skin","SKCM","A101D_SKIN","ACH-000008"
"9","C2BBE1","large_intestine","COADREAD","C2BBE1_LARGE_INTESTINE","ACH-000009"
"10","NCIH2077","lung","LUAD","NCIH2077_LUNG","ACH-000010"
"11","253J","urinary_tract","BLCA","253J_URINARY_TRACT","ACH-000011"
"12","HCC827","lung","LUAD","HCC827_LUNG","ACH-000012"
"13","ONCODG1","ovary","OV","ONCODG1_OVARY","ACH-000013"
"14","HS294T","skin","SKCM","HS294T_SKIN","ACH-000014"
"15","NCIH1581","lung",NA,"NCIH1581_LUNG","ACH-000015"
"16","SLR21","kidney","KIRC","SLR21_KIDNEY","ACH-000016"
"17","SKBR3","breast","BRCA","SKBR3_BREAST","ACH-000017"
"18","T24","urinary_tract","BLCA","T24_URINARY_TRACT","ACH-000018"
"19","MCF7","breast","BRCA","MCF7_BREAST","ACH-000019"
"20","MHHCALL2","haematopoietic_and_lymphoid_tissue","ALL","MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000020"
"21","NCIH1693","lung","LUAD","NCIH1693_LUNG","ACH-000021"
"22","PATU8988S","pancreas","PAAD","PATU8988S_PANCREAS","ACH-000022"
"23","PATU8988T","pancreas","PAAD","PATU8988T_PANCREAS","ACH-000023"
"24","OPM2","haematopoietic_and_lymphoid_tissue","MM","OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000024"
"25","CH157MN","central_nervous_system",NA,"CH157MN_CENTRAL_NERVOUS_SYSTEM","ACH-000025"
"26","253JBV","urinary_tract","BLCA","253JBV_URINARY_TRACT","ACH-000026"
"27","GOS3","central_nervous_system","GBMLGG","GOS3_CENTRAL_NERVOUS_SYSTEM","ACH-000027"
"28","KPL1","breast","BRCA","KPL1_BREAST","ACH-000028"
"29","HCC827GR5","lung","LUAD","HCC827GR5_LUNG","ACH-000029"
"30","PC14","lung","LUAD","PC14_LUNG","ACH-000030"
"31","PANC0213","pancreas","PAAD","PANC0213_PANCREAS","ACH-000031"
"32","MHHCALL3","haematopoietic_and_lymphoid_tissue","ALL","MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000032"
"33","NCIH1819","lung","LUAD","NCIH1819_LUNG","ACH-000033"
"34","PLB985","haematopoietic_and_lymphoid_tissue","LAML","PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000034"
"35","NCIH1650","lung","LUAD","NCIH1650_LUNG","ACH-000035"
"36","U343","central_nervous_system","GBMLGG","U343_CENTRAL_NERVOUS_SYSTEM","ACH-000036"
"37","S117","thyroid","SARC","S117_THYROID","ACH-000037"
"38","EHEB","haematopoietic_and_lymphoid_tissue","CLL","EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000038"
"39","SKNMC","bone","SARC","SKNMC_BONE","ACH-000039"
"40","U118MG","central_nervous_system","GBMLGG","U118MG_CENTRAL_NERVOUS_SYSTEM","ACH-000040"
"41","RDES","bone","SARC","RDES_BONE","ACH-000041"
"42","PANC0203","pancreas","PAAD","PANC0203_PANCREAS","ACH-000042"
"43","HS895T","fibroblast","SKCM","HS895T_FIBROBLAST","ACH-000043"
"44","MDAMB134VI","breast","BRCA","MDAMB134VI_BREAST","ACH-000044"
"45","MV411","haematopoietic_and_lymphoid_tissue","LAML","MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000045"
"46","ACHN","kidney","KIRC","ACHN_KIDNEY","ACH-000046"
"47","GCIY","stomach","STAD","GCIY_STOMACH","ACH-000047"
"48","TOV112D","ovary","OV","TOV112D_OVARY","ACH-000048"
"49","HEKTE","kidney","KIRC","HEKTE_KIDNEY","ACH-000049"
"50","NCIH929","haematopoietic_and_lymphoid_tissue","MM","NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000050"
"51","TE617T","soft_tissue","SARC","TE617T_SOFT_TISSUE","ACH-000051"
"52","A673","bone","SARC","A673_BONE","ACH-000052"
"53","KARPAS299","haematopoietic_and_lymphoid_tissue",NA,"KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000053"
"54","HT1080","soft_tissue","SARC","HT1080_SOFT_TISSUE","ACH-000054"
"55","D283MED","central_nervous_system","MB","D283MED_CENTRAL_NERVOUS_SYSTEM","ACH-000055"
"56","DOHH2","haematopoietic_and_lymphoid_tissue","DLBC","DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000056"
"57","OPM1","haematopoietic_and_lymphoid_tissue","MM","OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000057"
"58","ML1","thyroid","THCA","ML1_THYROID","ACH-000058"
"59","SUPB15","haematopoietic_and_lymphoid_tissue","ALL","SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000059"
"60","PANC1005","pancreas","PAAD","PANC1005_PANCREAS","ACH-000060"
"61","HH","haematopoietic_and_lymphoid_tissue","ALL","HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000061"
"62","RERFLCMS","lung","LUAD","RERFLCMS_LUNG","ACH-000062"
"63","HS616T","fibroblast",NA,"HS616T_FIBROBLAST","ACH-000063"
"64","SALE","lung",NA,"SALE_LUNG","ACH-000064"
"65","OCIAML5","haematopoietic_and_lymphoid_tissue","LAML","OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000065"
"66","HCC4006","lung","LUAD","HCC4006_LUNG","ACH-000066"
"67","HS683","central_nervous_system","GBMLGG","HS683_CENTRAL_NERVOUS_SYSTEM","ACH-000067"
"68","REC1","haematopoietic_and_lymphoid_tissue","DLBC","REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000068"
"69","HS611T","haematopoietic_and_lymphoid_tissue",NA,"HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000069"
"70","697","haematopoietic_and_lymphoid_tissue","ALL","697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000070"
"71","HS706T","bone",NA,"HS706T_BONE","ACH-000071"
"72","MEG01","haematopoietic_and_lymphoid_tissue","LCML","MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000072"
"73","GRANTA519","haematopoietic_and_lymphoid_tissue","DLBC","GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000073"
"74","KU812","haematopoietic_and_lymphoid_tissue","LCML","KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000074"
"75","U87MG","central_nervous_system","GBMLGG","U87MG_CENTRAL_NERVOUS_SYSTEM","ACH-000075"
"76","NCO2","haematopoietic_and_lymphoid_tissue","LCML","NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000076"
"77","MJ","haematopoietic_and_lymphoid_tissue",NA,"MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000077"
"78","MHHNB11","autonomic_ganglia","NB","MHHNB11_AUTONOMIC_GANGLIA","ACH-000078"
"79","TE125T","fibroblast","SARC","TE125T_FIBROBLAST","ACH-000079"
"80","BDCM","haematopoietic_and_lymphoid_tissue","ALL","BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000080"
