	cell_line_name	accession_id	synonym_names	ccle_cell_line_name	gdsc_id	nci_taxonomy_id	lineage_name	doid	doid_heiarchy	broad_id	broad_id_alt
0	COLO 679	CVCL_1130	['COLO-679', 'COLO679']	COLO679_SKIN	906818	C3510	skin melanoma	DOID:8923	[u'DOID:8923', 'DOID:4159', 'DOID:0060122', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000805	
1	COLO 800	CVCL_1135	['COLO-800', 'COLO800']	COLO800_SKIN	906813	C3510	skin melanoma	DOID:8923	[u'DOID:8923', 'DOID:4159', 'DOID:0060122', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000401	
2	COLO 818	CVCL_1998	['COLO-818', 'COLO818']	COLO818_SKIN		C3510	skin melanoma	DOID:8923	[u'DOID:8923', 'DOID:4159', 'DOID:0060122', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-001044	
3	COLO 829	CVCL_1137	['Colo829', 'COLO-829', 'Colo-829', 'COLO829', 'Colo829']	COLO829_SKIN	687448	C3510	skin melanoma	DOID:8923	[u'DOID:8923', 'DOID:4159', 'DOID:0060122', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000644	
4	COLO 849	CVCL_2002	['COLO-849', 'Colo849', 'COLO849']	COLO849_SKIN		C3510	skin melanoma	DOID:8923	[u'DOID:8923', 'DOID:4159', 'DOID:0060122', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-001045	
5	G-mel	CVCL_W798	['G-MEL']	GMEL_SKIN	1240130	C3510	skin melanoma	DOID:8923	[u'DOID:8923', 'DOID:4159', 'DOID:0060122', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-002121	
6	Hs 940.T	CVCL_1038	['HS-940-T', 'Hs940-T', 'Hs-940', 'HS940']	HS940T_SKIN	1298145	C3510	skin melanoma	DOID:8923	[u'DOID:8923', 'DOID:4159', 'DOID:0060122', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000135	
7	Hs 944.T	CVCL_1040	['HS944T', 'HS944T', 'HS-944-T', 'HS944', 'Hs944', 'HS944']	HS944T_SKIN		C3510	skin melanoma	DOID:8923	[u'DOID:8923', 'DOID:4159', 'DOID:0060122', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000632	
8	IPC-298	CVCL_1307	['IPC298', 'IPC298']	IPC298_SKIN	907171	C3510	skin melanoma	DOID:8923	[u'DOID:8923', 'DOID:4159', 'DOID:0060122', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000915	
9	K029AX	CVCL_8784	['']	K029AX_SKIN		C3510	skin melanoma	DOID:8923	[u'DOID:8923', 'DOID:4159', 'DOID:0060122', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000404	
10	Mel JuSo	CVCL_1403	['MEL-Juso', 'MEL-JUSO', 'Mel-Juso', 'MelJuso', 'MelJuSo', 'JuSo']	MELJUSO_SKIN	908125	C3510	skin melanoma	DOID:8923	[u'DOID:8923', 'DOID:4159', 'DOID:0060122', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000881	
11	SK-MEL-28	CVCL_0526	['SK-Mel-28', 'SKMel28', 'SK-MEL28', 'SK.MEL.28', 'SKMEL28', 'SKMel-28', 'SKMEL-28', 'SK-MEL28', 'SK-Mel28', 'SKMEL28', 'SKMel28', 'SKmel28', 'SKML-28', 'AU-Mel', 'P-36', 'P36']	SKMEL28_SKIN	905954	C3510	skin melanoma	DOID:8923	[u'DOID:8923', 'DOID:4159', 'DOID:0060122', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000615	
12	SK-MEL-30	CVCL_0039	['SK-Mel-30', 'SKMel30', 'SKMEL-30', 'SkMel30', 'AW-Mel']	SKMEL30_SKIN	909726	C3510	skin melanoma	DOID:8923	[u'DOID:8923', 'DOID:4159', 'DOID:0060122', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000810	
13	SK-MEL-5	CVCL_0527	['SK-Mel-5', 'SKMEL5', 'SK.MEL.5', 'SK-MEL5', 'SKMel-5', 'SKMEL-5', 'SKMEL5', 'SKMel5', 'SKmel5', 'AA-Mel']	SKMEL5_SKIN	905956	C3510	skin melanoma	DOID:8923	[u'DOID:8923', 'DOID:4159', 'DOID:0060122', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000730	
14	NCI-H720	CVCL_1583	['H720', 'H-720', 'NCIH720']	NCIH720_LUNG	687600	C4038	lung cancer	DOID:1324	[u'DOID:1324', 'DOID:0050615', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-002174	
15	NCI-H727	CVCL_1584	['H727', 'H-727', 'NCIH727']	NCIH727_LUNG	724855	C4038	lung cancer	DOID:1324	[u'DOID:1324', 'DOID:0050615', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000775	
