cell_line_name	accession_id	synonym_names	ccle_cell_line_name	gdsc_id	nci_taxonomy_id	lineage_name	doid	doid_heiarchy	broad_id
A-388	CVCL_1063	['A388']	A388_SKIN	910697	C2929	tongue squamous cell carcinoma	DOID:0050865	[u'DOID:0050865', u'DOID:5520', u'DOID:1542', u'DOID:11934', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001442
D283 Med	CVCL_1155	['D283MED', 'D283-MED', 'D-283Med', 'D-283MED', 'D283MED', 'D283Med', 'D283-Med', 'D283', 'Med283', 'H283']	D283MED_CENTRAL_NERVOUS_SYSTEM	906834	C3222	medulloblastoma	DOID:0050902	[u'DOID:0050902', u'DOID:4706', u'DOID:1319', u'DOID:3620', u'DOID:3093', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000055
D341 Med	CVCL_0018	['D-341Med', 'D-341MED', 'D-341Med', 'D-341MED', 'D341Med', 'D341MD', 'D341', 'Med341', 'H341']	D341MED_CENTRAL_NERVOUS_SYSTEM		C3222	medulloblastoma	DOID:0050902	[u'DOID:0050902', u'DOID:4706', u'DOID:1319', u'DOID:3620', u'DOID:3093', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000095
Daoy	CVCL_1167	['DAOY', 'D324Med', 'D-324Med', 'D324MED', 'D-324MED', 'D324']	DAOY_CENTRAL_NERVOUS_SYSTEM	906833	C3222	medulloblastoma	DOID:0050902	[u'DOID:0050902', u'DOID:4706', u'DOID:1319', u'DOID:3620', u'DOID:3093', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000211
ONS-76	CVCL_1624	['ONS76']	ONS76_CENTRAL_NERVOUS_SYSTEM	909248	C3222	medulloblastoma	DOID:0050902	[u'DOID:0050902', u'DOID:4706', u'DOID:1319', u'DOID:3620', u'DOID:3093', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000776
PFSK-1	CVCL_1642	['PFSK']	PFSK1_CENTRAL_NERVOUS_SYSTEM	683667	C3716	medulloblastoma	DOID:0050902	[u'DOID:0050902', u'DOID:4706', u'DOID:1319', u'DOID:3620', u'DOID:3093', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001711
SK-PN-DW	CVCL_1703	['SKPNDW']	SKPNDW_BONE	909731	C3716	medulloblastoma	DOID:0050902	[u'DOID:0050902', u'DOID:4706', u'DOID:1319', u'DOID:3620', u'DOID:3093', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001193
TC-32	CVCL_7151	['TC32']	TC32_BONE		C3716	medulloblastoma	DOID:0050902	[u'DOID:0050902', u'DOID:4706', u'DOID:1319', u'DOID:3620', u'DOID:3093', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001205
Daudi	CVCL_0008	['DAUDI', 'NK-10A', 'NK-10a', 'NK10a', 'NK10a', 'GM03190', 'GM17346']	DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	906831	C27694	lymphoma	DOID:0060058	[DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000786
EB2	CVCL_1186	['EB-2', 'Epstein-Barr-2']	EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	906846	C27694	lymphoma	DOID:0060058	[DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-001064
Namalwa	CVCL_0067	['NAMALWA', 'Namalva', 'NAMALVA', 'NWA', 'NK62a']	NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	908159	C27694	lymphoma	DOID:0060058	[DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000944
Raji	CVCL_0511	['RAJI', 'P1-Raji', 'GM04671']	RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	909262	C27694	lymphoma	DOID:0060058	[DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000654
RF-48	CVCL_1657	['RF48']	RF48_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	909697	C3208	lymphoma	DOID:0060058	[u'DOID:0060058', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002301
SU-DHL-4	CVCL_0539	['SUDHL4', 'Sudhl4', 'SUDHL-4', 'Sudhl-4', 'SuDHL4', 'SUD4', 'SUD-4', 'SU4', 'StanfordUniversity-DiffuseHistiocyticLymphoma-4', 'DHL-4', 'DHL4']	SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1331035	C36080	lymphoma	DOID:0060058	[DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000365
SU-DHL-6	CVCL_2206	['SUDHL6', 'SuDHL6', 'SU-DHL6', 'SUDHL-6', 'SuDHL-6', 'Sudhl-6', 'SUD6', 'StanfordUniversity-DiffuseHistiocyticLymphoma-6', 'DHL-6', 'DHL6']	SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1331037	C36080	lymphoma	DOID:0060058	[DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000611
SU-DHL-8	CVCL_2207	['SUDHL8', 'SUDHL-8', 'SuDHL8', 'StanfordUniversity-DiffuseHistiocyticLymphoma-8', 'DHL-8', 'DHL8']	SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1331038	C36080	lymphoma	DOID:0060058	[DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000656
JeKo-1	CVCL_1865	['Jeko-1', 'JEKO-1', 'JeKo1', 'Jeko1', 'JEKO1', 'JEKO']	JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1327765	C4337	lymphoma	DOID:0060058	[DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000357
A4/Fukuda	CVCL_1064	['A4/Fuk', 'A4/FUK', 'A4-Fuk', 'A4-FUK']	A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	910934	C8644	lymphoma	DOID:0060058	[DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000157
A3/Kawakami	CVCL_1062	['A3/KAW', 'A3-KAW']	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	910935	C8851	lymphoma	DOID:0060058	[DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000697
DB	CVCL_1168	['']	DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	906832	C8851	lymphoma	DOID:0060058	[DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000334
DoHH2	CVCL_1179	['DOHH2', 'DoHH-2', 'DOHH-2']	DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	906842	C8851	lymphoma	DOID:0060058	[DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000056
HT	CVCL_1290	['']	HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	907063	C8851	lymphoma	DOID:0060058	[DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000914
Karpas-422	CVCL_1325	['KARPAS-422', 'Karpas422', 'KARPAS422', 'Karpas422', 'KARPAS422', 'K422']	KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	907274	C8851	lymphoma	DOID:0060058	[DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000315
NU-DUL-1	CVCL_1877	['NUDUL-1', 'NUDUL1']	NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1330982	C8851	lymphoma	DOID:0060058	[DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000287
OCI-Ly19	CVCL_1878	['OCI-LY19', 'OCI-LY-19', 'OCI-Ly19', 'OCILy19', 'OCILY-19', 'OCILY19', 'Ly19', 'LY19']	OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1330984	C8851	lymphoma	DOID:0060058	[DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000124
RL	CVCL_1660	['']	RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	910861	C8851	lymphoma	DOID:0060058	[DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000371
SU-DHL-10	CVCL_1889	['SUDHL10', 'Sudhl10', 'SUDHL-10', 'SuDHL10', 'StanfordUniversity-DiffuseHistiocyticLymphoma-10', 'DHL10']	SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1331033	C8851	lymphoma	DOID:0060058	[DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000271
SU-DHL-5	CVCL_1735	['SUDHL5', 'SUDHL-5', 'SU-DH-L5', 'SuDHL5', 'StanfordUniversity-DiffuseHistiocyticLymphoma-5', 'DHL-5', 'DHL5']	SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1331036	C8851	lymphoma	DOID:0060058	[DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000660
WSU-DLCL2	CVCL_1902	['WSU-DLCL-2', 'WSU-DLCL(2)', 'WSUDLCL2']	WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1331050	C8851	lymphoma	DOID:0060058	[DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000534
