lineage_name	cell_line_name	accession_id	synonym_names	CCLE_Name	gdsc_id	nci_taxonomy_id	doid	doid_heiarchy	Broad_ID	broad_id_alt	grouped_general_doid	group_general_lineage_name
1	acantholytic variant squamous cell breast carcinoma	HCC1806	CVCL_1258	['Hcc1806', 'HCC-1806']	HCC1806_BREAST	907047	C40359	DOID:7459	[u'DOID:7459', u'DOID:5514', u'DOID:4680', u'DOID:3459', u'DOID:1612', u'DOID:5093', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000624		DOID:1612	breast cancer
2	acute myeloid leukemia	CESS	CVCL_0209	['Cess']	CESS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	910688	C3171	DOID:9119	[u'DOID:9119', u'DOID:8692', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002218		DOID:1240	leukemia
3	acute myeloid leukemia	CMK	CVCL_0216	['']	CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	910566	C43223	DOID:9119	[u'DOID:9119', 'DOID:8692', 'DOID:1240', 'DOID:2531', 'DOID:0060083', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000641		DOID:1240	leukemia
4	acute myeloid leukemia	QIMR-WIL	CVCL_1645	['WIL']	QIMRWIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	910545	C3171	DOID:9119	[u'DOID:9119', u'DOID:8692', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002299		DOID:1240	leukemia
5	acute myeloid leukemia	PL-21	CVCL_2161	['PL21']	PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1330991	C3171	DOID:9119	[u'DOID:9119', u'DOID:8692', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000218		DOID:1240	leukemia
6	acute myeloid leukemia	CMK-86	CVCL_2804	['CMK86']	CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	C43223	DOID:9119	[u'DOID:9119', 'DOID:8692', 'DOID:1240', 'DOID:2531', 'DOID:0060083', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-001037		DOID:1240	leukemia
7	acute myeloid leukemia	BDCM	CVCL_4613	['B-cellwithDCMorphology']	BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	C3171	DOID:9119	[u'DOID:9119', u'DOID:8692', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000080		DOID:1240	leukemia
8	acute myeloid leukemia	CMK-11-5	CVCL_0217	['CMK11-5', 'CMK11-5', 'CMK115']	CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	C43223	DOID:9119	[u'DOID:9119', 'DOID:8692', 'DOID:1240', 'DOID:2531', 'DOID:0060083', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-001036		DOID:1240	leukemia
9	acute myelomonocytic leukemia	KY821	CVCL_1346	['KY-821']	KY821_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	907300	C7463	DOID:8864	[DOID:8864, DOID:8527, DOID:8692, DOID:1240, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-002262		DOID:1240	leukemia
10	acute promyelocytic leukemia	NB4	CVCL_0005	['NB-4', 'NB.4']	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1323913	C3182	DOID:0060318	[u'DOID:0060318', u'DOID:9119', u'DOID:8692', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000294		DOID:1240	leukemia
