CCLE_cell_line_names,GDSC_cell_line_names,CTRP_cell_line_names,Consensus_cell_line_names
BCPAP_THYROID,BCPAP,BCPAP,BCPAP
,BHT-101,BHT101,BHT101
,,CAL62,CAL62
,FTC-133,FTC133,FTC133
TT2609C02_THYROID,,TT2609C02,TT2609C02
8305C_THYROID,8305C,8305C,8305C
8505C_THYROID,8505C,8505C,8505C
1321N1_CENTRAL_NERVOUS_SYSTEM,,,1321N1
22RV1_PROSTATE,22RV1,22RV1,22RV1
,23132-87,2313287,2313287
42MGBA_CENTRAL_NERVOUS_SYSTEM,,42MGBA,42MGBA
5637_URINARY_TRACT,5637,5637,5637
639V_URINARY_TRACT,639-V,639V,639V
,647-V,647V,647V
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,697,697,697
769P_KIDNEY,769-P,769P,769P
786O_KIDNEY,786-0,786O,786O
8MGBA_CENTRAL_NERVOUS_SYSTEM,8-MG-BA,8MGBA,8MGBA
,A101D,A101D,A101D
A172_CENTRAL_NERVOUS_SYSTEM,A172,A172,A172
A204_SOFT_TISSUE,A204,A204,A204
A2058_SKIN,A2058,A2058,A2058
A253_SALIVARY_GLAND,A253,A253,A253
A2780_OVARY,A2780,A2780,A2780
,A3-KAW,A3KAW,A3KAW
A375_SKIN,A375,A375,A375
,A388,,A388
,A4-Fuk,A4FUK,A4FUK
,A427,,A427
,A431,,A431
,A498,A498,A498
A549_LUNG,A549,A549,A549
A673_BONE,A673,A673,A673
,A704,,A704
,ABC-1,,ABC1
ACHN_KIDNEY,ACHN,ACHN,ACHN
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,ALLSIL,ALLSIL
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,AMO1,AMO1
,ACN,,ACN
,AGS,AGS,AGS
,ALL-PO,,ALLPO
,AM-38,AM38,AM38
AN3CA_ENDOMETRIUM,AN3-CA,AN3CA,AN3CA
,ARH-77,,ARH77
ASPC1_PANCREAS,AsPC-1,ASPC1,ASPC1
,ATN-1,,ATN1
AU565_BREAST,AU565,AU565,AU565
AZ521_STOMACH,,,AZ521
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,BDCM,BDCM
,BALL-1,,BALL1
,BB30-HNC,,BB30HNC
,BB49-HNC,,BB49HNC
,BB65-RCC,,BB65RCC
,BC-1,,BC1
,BC-3,,BC3
,BE-13,,BE13
,Becker,BECKER,BECKER
,BEN,BEN,BEN
,BFTC-905,BFTC905,BFTC905
BFTC909_KIDNEY,BFTC-909,BFTC909,BFTC909
BGC823_STOMACH,,,BGC823
,BHY,BHY,BHY
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BL-41,BL41,BL41
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BL-70,BL70,BL70
,BOKU,,BOKU
,BPH-1,,BPH1
BT20_BREAST,BT-20,BT20,BT20
BT474_BREAST,BT-474,BT474,BT474
BT549_BREAST,BT-549,BT549,BT549
,BV-173,BV173,BV173
BXPC3_PANCREAS,BxPC-3,BXPC3,BXPC3
,C-33-A,,C33A
C2BBE1_LARGE_INTESTINE,C2BBe1,C2BBE1,C2BBE1
C32_SKIN,C32,C32,C32
C3A_LIVER,C3A,,C3A
,Ca-Ski,,CaSki
,CA46,CA46,CA46
,Ca9-22,,Ca922
,CAKI-1,CAKI1,CAKI1
,CAL-120,CAL120,CAL120
CAKI2_KIDNEY,,CAKI2,CAKI2
CAL12T_LUNG,CAL-12T,CAL12T,CAL12T
,CAL-148,CAL148,CAL148
CAL27_UPPER_AERODIGESTIVE_TRACT,CAL-27,CAL27,CAL27
CAL78_BONE,,CAL78,CAL78
,CAL-33,CAL33,CAL33
,CAL-39,,CAL39
,CAL-51,CAL51,CAL51
,CAL-54,CAL54,CAL54
,CAL-62,,CAL62
,CAL-72,,CAL72
CAL851_BREAST,CAL-85-1,CAL851,CAL851
CALU1_LUNG,Calu-1,CALU1,CALU1
CALU3_LUNG,Calu-3,CALU3,CALU3
CALU6_LUNG,Calu-6,CALU6,CALU6
CAMA1_BREAST,CAMA-1,CAMA1,CAMA1
CAPAN2_PANCREAS,Capan-2,CAPAN2,CAPAN2
,Caov-3,CAOV3,CAOV3
