"database1","database2","drug","drug_sensitivity_metric","correlation_type","correlation","p.permutations","p.bootstrap","confidence.interval","data_points"
"CCLE","GDSC","All","EC50","pearson","0.54945053874336","0.001","0.001","0.474984424599319,0.632418630111552","605"
"CCLE","GDSC","All","EC50","spearman","0.494282457548912","0.001","0.001","0.460271839448017,0.530423121033886","2507"
"CCLE","GDSC","All","IC50","pearson","0.599494138175121","0.001","0.001","0.524829853001388,0.676873472207571","484"
"CCLE","GDSC","All","IC50","spearman","0.574996816406795","0.001","0.001","0.540846359624718,0.608966328564059","2507"
"CCLE","GDSC","All","AUC_EC50","pearson","0.609678077821505","0.001","0.001","0.578458366675017,0.63716470084653","2507"
"CCLE","GDSC","All","AUC_EC50","spearman","0.514684231044748","0.001","0.001","0.483892597885108,0.542827762067709","2507"
"CCLE","GDSC","All","AUC_IC50","pearson","0.660032839335658","0.001","0.001","0.630193208938901,0.689340782437003","2507"
"CCLE","GDSC","All","AUC_IC50","spearman","0.55140913461296","0.001","0.001","0.521673297722027,0.58138662064507","2507"
"CCLE","GDSC","All","AUC_EC50_adj","pearson","0.658825884358565","0.001","0.001","0.628335622854069,0.688341881820431","2507"
"CCLE","GDSC","All","AUC_EC50_adj","spearman","0.550628383819618","0.001","0.001","0.520134248118928,0.580665964574017","2507"
"CCLE","GDSC","All","AUC_IC50_adj","pearson","0.690257961504618","0.001","0.001","0.659190172188357,0.718502653216597","2507"
"CCLE","GDSC","All","AUC_IC50_adj","spearman","0.566141514455776","0.001","0.001","0.536127761622603,0.59705872675831","2507"
"CCLE","GDSC","17-AAG","EC50","pearson",NA,NA,NA,"NA","280"
"CCLE","GDSC","17-AAG","EC50","spearman","0.643444073447963","0.001","0.001","0.554420177453854,0.724438987136486","280"
"CCLE","GDSC","17-AAG","IC50","pearson",NA,NA,NA,"NA","280"
"CCLE","GDSC","17-AAG","IC50","spearman","0.600170076883339","0.001","0.001","0.515673212523995,0.66685276958296","280"
"CCLE","GDSC","17-AAG","AUC_EC50","pearson","0.358414667050908","0.001","0.001","0.250999085471852,0.461653663578399","280"
"CCLE","GDSC","17-AAG","AUC_EC50","spearman","0.420807845581121","0.001","0.001","0.322745542496595,0.511198884230526","280"
"CCLE","GDSC","17-AAG","AUC_IC50","pearson","0.41795766631803","0.001","0.001","0.317140065404436,0.515389291158914","280"
"CCLE","GDSC","17-AAG","AUC_IC50","spearman","0.491400036079177","0.001","0.001","0.398041086519619,0.573209744958464","280"
"CCLE","GDSC","17-AAG","AUC_EC50_adj","pearson","0.661394102381633","0.001","0.001","0.586328450793034,0.727645241209436","280"
"CCLE","GDSC","17-AAG","AUC_EC50_adj","spearman","0.64466656826891","0.001","0.001","0.561688138867838,0.715378076847546","280"
"CCLE","GDSC","17-AAG","AUC_IC50_adj","pearson","0.644258027378668","0.001","0.001","0.573866095399169,0.711560114785071","280"
"CCLE","GDSC","17-AAG","AUC_IC50_adj","spearman","0.642769678184671","0.001","0.001","0.563133873741072,0.711899860490361","280"
"CCLE","GDSC","Nilotinib","EC50","pearson",NA,NA,NA,"NA","216"
"CCLE","GDSC","Nilotinib","EC50","spearman","0.131148821080064","0.028","0.037","-0.0336906929017045,0.287072956905489","216"
"CCLE","GDSC","Nilotinib","IC50","pearson",NA,NA,NA,"NA","216"
"CCLE","GDSC","Nilotinib","IC50","spearman","0.294092704841539","0.001","0.001","0.146872650145338,0.41480279183457","216"
"CCLE","GDSC","Nilotinib","AUC_EC50","pearson","0.424918360737691","0.001","0.001","0.100286974130773,0.627668353154047","216"
"CCLE","GDSC","Nilotinib","AUC_EC50","spearman","0.174311435001608","0.003","0.002","0.0379719694852403,0.312926309708121","216"
"CCLE","GDSC","Nilotinib","AUC_IC50","pearson","0.638515840620934","0.001","0.001","0.286931048289514,0.782503595274864","216"
"CCLE","GDSC","Nilotinib","AUC_IC50","spearman","0.208379475821336","0.002","0.001","0.0664497071642644,0.348872197614525","216"
"CCLE","GDSC","Nilotinib","AUC_EC50_adj","pearson","0.528142848262406","0.001","0.001","0.0337469919828325,0.725253005855948","216"
"CCLE","GDSC","Nilotinib","AUC_EC50_adj","spearman","0.1465247264197","0.017","0.017","-0.00068220464921262,0.283461066419676","216"
"CCLE","GDSC","Nilotinib","AUC_IC50_adj","pearson","0.872455367991929","0.001","0.001","0.371769807139881,0.938610204073709","216"
"CCLE","GDSC","Nilotinib","AUC_IC50_adj","spearman","0.225804425397718","0.001","0.001","0.08691940644361,0.351286197921009","216"
"CCLE","GDSC","Nutlin-3","EC50","pearson",NA,NA,NA,"NA","280"
"CCLE","GDSC","Nutlin-3","EC50","spearman","0.309886107788995","0.001","0.001","0.18976970834014,0.419135357251234","280"
"CCLE","GDSC","Nutlin-3","IC50","pearson",NA,NA,NA,"NA","280"
"CCLE","GDSC","Nutlin-3","IC50","spearman","0.460559933084757","0.001","0.001","0.301667029617708,0.592587064201503","280"
"CCLE","GDSC","Nutlin-3","AUC_EC50","pearson","0.410429300307004","0.001","0.001","0.270617059949646,0.533793866953028","280"
"CCLE","GDSC","Nutlin-3","AUC_EC50","spearman","0.325146555279949","0.001","0.001","0.217436929374375,0.428143040572669","280"
"CCLE","GDSC","Nutlin-3","AUC_IC50","pearson","0.482597616974095","0.001","0.001","0.356046348545183,0.598837212084224","280"
"CCLE","GDSC","Nutlin-3","AUC_IC50","spearman","0.294976144658262","0.001","0.001","0.18362341727128,0.401695517406218","280"
"CCLE","GDSC","Nutlin-3","AUC_EC50_adj","pearson","0.398371566104457","0.001","0.001","0.258109503731252,0.508182495855419","280"
"CCLE","GDSC","Nutlin-3","AUC_EC50_adj","spearman","0.304633180361985","0.001","0.001","0.195024275163121,0.407792448660509","280"
"CCLE","GDSC","Nutlin-3","AUC_IC50_adj","pearson","0.496297282370543","0.001","0.001","0.354808497722967,0.607060798614714","280"
"CCLE","GDSC","Nutlin-3","AUC_IC50_adj","spearman","0.300788550844203","0.001","0.001","0.185065568914971,0.411762038282335","280"
"CCLE","GDSC","PD-0325901","EC50","pearson",NA,NA,NA,"NA","278"
"CCLE","GDSC","PD-0325901","EC50","spearman","0.381634347588352","0.001","0.001","0.272131950386823,0.497565879843734","278"
"CCLE","GDSC","PD-0325901","IC50","pearson",NA,NA,NA,"NA","278"
"CCLE","GDSC","PD-0325901","IC50","spearman","0.602173635728794","0.001","0.001","0.512385760134396,0.692310742403046","278"
"CCLE","GDSC","PD-0325901","AUC_EC50","pearson","0.632662594652557","0.001","0.001","0.551087655571023,0.69910884308327","278"
"CCLE","GDSC","PD-0325901","AUC_EC50","spearman","0.622534649583233","0.001","0.001","0.53446136382753,0.698153148661333","278"
"CCLE","GDSC","PD-0325901","AUC_IC50","pearson","0.666032183833784","0.001","0.001","0.593027035300674,0.734725470973524","278"
"CCLE","GDSC","PD-0325901","AUC_IC50","spearman","0.642496227776135","0.001","0.001","0.55682211045231,0.719874515509089","278"
"CCLE","GDSC","PD-0325901","AUC_EC50_adj","pearson","0.64554443160587","0.001","0.001","0.561847913264864,0.716513914727028","278"
"CCLE","GDSC","PD-0325901","AUC_EC50_adj","spearman","0.603844587790826","0.001","0.001","0.515768563122727,0.680142280790786","278"
"CCLE","GDSC","PD-0325901","AUC_IC50_adj","pearson","0.677841135033515","0.001","0.001","0.604921038396323,0.7449954312295","278"
"CCLE","GDSC","PD-0325901","AUC_IC50_adj","spearman","0.652992978967538","0.001","0.001","0.573885044582523,0.719930411527262","278"
"CCLE","GDSC","PD-0332991","EC50","pearson",NA,NA,NA,"NA","223"
"CCLE","GDSC","PD-0332991","EC50","spearman","0.136547954226339","0.025","0.022","-0.00157422928419787,0.273068409201228","223"
"CCLE","GDSC","PD-0332991","IC50","pearson",NA,NA,NA,"NA","223"
"CCLE","GDSC","PD-0332991","IC50","spearman","0.163953295965739","0.00900000000000001","0.00800000000000001","0.00414139654057527,0.318332268367826","223"
"CCLE","GDSC","PD-0332991","AUC_EC50","pearson","0.325974088964157","0.001","0.001","0.187738207837107,0.446301248287031","223"
"CCLE","GDSC","PD-0332991","AUC_EC50","spearman","0.293194057210629","0.001","0.001","0.156576110600667,0.409140852475795","223"
"CCLE","GDSC","PD-0332991","AUC_IC50","pearson","0.402512489380315","0.001","0.001","0.266227430711845,0.527586987608857","223"
"CCLE","GDSC","PD-0332991","AUC_IC50","spearman","0.369075393458802","0.001","0.001","0.255573926749768,0.470616303734418","223"
"CCLE","GDSC","PD-0332991","AUC_EC50_adj","pearson","0.30776093362958","0.001","0.001","0.169729902953647,0.442796099978079","223"
"CCLE","GDSC","PD-0332991","AUC_EC50_adj","spearman","0.276167357465165","0.001","0.001","0.14883493606349,0.398344136588934","223"
"CCLE","GDSC","PD-0332991","AUC_IC50_adj","pearson","0.403019015327506","0.001","0.001","0.243410827033556,0.528362379870353","223"
"CCLE","GDSC","PD-0332991","AUC_IC50_adj","spearman","0.369397241345586","0.001","0.001","0.248804682101207,0.478873798656488","223"
"CCLE","GDSC","PLX-4720","EC50","pearson",NA,NA,NA,"NA","276"
"CCLE","GDSC","PLX-4720","EC50","spearman","0.330490282308539","0.001","0.001","0.185876901816911,0.459874584858052","276"
"CCLE","GDSC","PLX-4720","IC50","pearson",NA,NA,NA,"NA","276"
"CCLE","GDSC","PLX-4720","IC50","spearman","0.449923206306081","0.001","0.001","0.291915480281708,0.602809639698484","276"
"CCLE","GDSC","PLX-4720","AUC_EC50","pearson","0.601464819810045","0.001","0.001","0.467119271735774,0.713262091277265","276"
"CCLE","GDSC","PLX-4720","AUC_EC50","spearman","0.440762797769965","0.001","0.001","0.331830743129057,0.537534742120157","276"
"CCLE","GDSC","PLX-4720","AUC_IC50","pearson","0.661164391513058","0.001","0.001","0.525027383917904,0.764753900165092","276"
"CCLE","GDSC","PLX-4720","AUC_IC50","spearman","0.402720623666993","0.001","0.001","0.294520666489254,0.505709738556767","276"
"CCLE","GDSC","PLX-4720","AUC_EC50_adj","pearson","0.612959901010128","0.001","0.001","0.465949371092936,0.714001085307182","276"
"CCLE","GDSC","PLX-4720","AUC_EC50_adj","spearman","0.446218518571367","0.001","0.001","0.331942504984273,0.547226279017547","276"
"CCLE","GDSC","PLX-4720","AUC_IC50_adj","pearson","0.669382359786182","0.001","0.001","0.528368207388896,0.771002630778475","276"
"CCLE","GDSC","PLX-4720","AUC_IC50_adj","spearman","0.394912398460359","0.001","0.001","0.28599148207499,0.502508607957715","276"
"CCLE","GDSC","Selumetinib","EC50","pearson",NA,NA,NA,"NA","265"
"CCLE","GDSC","Selumetinib","EC50","spearman","0.312045830011027","0.001","0.001","0.189604675821274,0.440777686650061","265"
"CCLE","GDSC","Selumetinib","IC50","pearson",NA,NA,NA,"NA","265"
"CCLE","GDSC","Selumetinib","IC50","spearman","0.408160120920361","0.001","0.001","0.284719378511243,0.528129844857089","265"
"CCLE","GDSC","Selumetinib","AUC_EC50","pearson","0.40641493571643","0.001","0.001","0.281121418487504,0.514203628181525","265"
"CCLE","GDSC","Selumetinib","AUC_EC50","spearman","0.360234849559577","0.001","0.001","0.243365064634335,0.466337484829853","265"
"CCLE","GDSC","Selumetinib","AUC_IC50","pearson","0.439163717005222","0.001","0.001","0.315836491486327,0.554076424046819","265"
"CCLE","GDSC","Selumetinib","AUC_IC50","spearman","0.36852235141709","0.001","0.001","0.254809335152312,0.472180831829833","265"
"CCLE","GDSC","Selumetinib","AUC_EC50_adj","pearson","0.401365760519793","0.001","0.001","0.280024405794334,0.518837171250315","265"
"CCLE","GDSC","Selumetinib","AUC_EC50_adj","spearman","0.352775377551942","0.001","0.001","0.240605211602488,0.455893789075515","265"
"CCLE","GDSC","Selumetinib","AUC_IC50_adj","pearson","0.428310242570625","0.001","0.001","0.30265278315376,0.553876096956376","265"
"CCLE","GDSC","Selumetinib","AUC_IC50_adj","spearman","0.357942040742179","0.001","0.001","0.245289410957515,0.47516918588803","265"
"CCLE","GDSC","Crizotinib","EC50","pearson",NA,NA,NA,"NA","89"
"CCLE","GDSC","Crizotinib","EC50","spearman","0.21198255021027","0.028","0.035","-0.0429812669521738,0.450543587950665","89"
"CCLE","GDSC","Crizotinib","IC50","pearson",NA,NA,NA,"NA","89"
"CCLE","GDSC","Crizotinib","IC50","spearman","0.298606480199836","0.004","0.001","0.0145771260606411,0.520485834480632","89"
"CCLE","GDSC","Crizotinib","AUC_EC50","pearson","0.547492305447174","0.001","0.001","0.27313224357591,0.713772908722529","89"
"CCLE","GDSC","Crizotinib","AUC_EC50","spearman","0.23003064351379","0.019","0.012","0.0185439986500983,0.441615588770093","89"
"CCLE","GDSC","Crizotinib","AUC_IC50","pearson","0.59577208142951","0.001","0.001","0.284403582403881,0.768764962173889","89"
"CCLE","GDSC","Crizotinib","AUC_IC50","spearman","0.257286346612189","0.00600000000000001","0.00800000000000001","0.0284734469935661,0.458869272673247","89"
"CCLE","GDSC","Crizotinib","AUC_EC50_adj","pearson","0.609275941401354","0.001","0.001","0.168705684588829,0.795343558487572","89"
"CCLE","GDSC","Crizotinib","AUC_EC50_adj","spearman","0.224123255022131","0.016","0.023","-0.00390608516586582,0.4296985595289","89"
"CCLE","GDSC","Crizotinib","AUC_IC50_adj","pearson","0.691072301734313","0.001","0.001","0.252379976441352,0.864762284172538","89"
"CCLE","GDSC","Crizotinib","AUC_IC50_adj","spearman","0.311819536353942","0.001","0.001","0.100422078329721,0.508912476030303","89"
"CCLE","GDSC","Erlotinib","EC50","pearson",NA,NA,NA,"NA","78"
"CCLE","GDSC","Erlotinib","EC50","spearman","0.287717245032181","0.014","0.00902708124373119","-0.00133151110378537,0.530437465942034","78"
"CCLE","GDSC","Erlotinib","IC50","pearson",NA,NA,NA,"NA","78"
"CCLE","GDSC","Erlotinib","IC50","spearman","0.242843904251197","0.048","0.0354535974973931","-0.0658909230677873,0.515994115403913","78"
"CCLE","GDSC","Erlotinib","AUC_EC50","pearson","0.329417569277837","0.005","0.00600000000000001","0.141475128019504,0.500718872577859","78"
"CCLE","GDSC","Erlotinib","AUC_EC50","spearman","0.316329240379873","0.001","0.001","0.100713456356537,0.529088533372865","78"
"CCLE","GDSC","Erlotinib","AUC_IC50","pearson","0.382648904941085","0.002","0.001","0.203877931855036,0.550074542246711","78"
"CCLE","GDSC","Erlotinib","AUC_IC50","spearman","0.384311890641004","0.001","0.001","0.154930766918114,0.579770482784401","78"
"CCLE","GDSC","Erlotinib","AUC_EC50_adj","pearson","0.365668866474256","0.001","0.003","0.169774947693138,0.517524836436667","78"
"CCLE","GDSC","Erlotinib","AUC_EC50_adj","spearman","0.339091288458377","0.002","0.001","0.107998342930428,0.534291108502346","78"
"CCLE","GDSC","Erlotinib","AUC_IC50_adj","pearson","0.42209460481157","0.003","0.001","0.243854557322059,0.621518256910102","78"
"CCLE","GDSC","Erlotinib","AUC_IC50_adj","spearman","0.415906532905332","0.001","0.001","0.196989999757704,0.618422960946514","78"
"CCLE","GDSC","Lapatinib","EC50","pearson",NA,NA,NA,"NA","84"
"CCLE","GDSC","Lapatinib","EC50","spearman","0.266664065131209","0.00800000000000001","0.011","-0.0192605054100396,0.489201329811897","84"
"CCLE","GDSC","Lapatinib","IC50","pearson",NA,NA,NA,"NA","84"
"CCLE","GDSC","Lapatinib","IC50","spearman","0.290191409555618","0.00600000000000001","0.0122199592668024","-0.0625190428912626,0.516268452871035","84"
"CCLE","GDSC","Lapatinib","AUC_EC50","pearson","0.502082640288948","0.001","0.001","0.280721078723613,0.689197131808069","84"
"CCLE","GDSC","Lapatinib","AUC_EC50","spearman","0.433512200060747","0.001","0.001","0.232380051366499,0.621265163438442","84"
"CCLE","GDSC","Lapatinib","AUC_IC50","pearson","0.571969437403545","0.001","0.001","0.312495234156878,0.761828382061424","84"
"CCLE","GDSC","Lapatinib","AUC_IC50","spearman","0.502541257466842","0.001","0.001","0.288193808026767,0.673365775696513","84"
"CCLE","GDSC","Lapatinib","AUC_EC50_adj","pearson","0.488415098742963","0.002","0.001","0.237740030371917,0.701847446697179","84"
"CCLE","GDSC","Lapatinib","AUC_EC50_adj","spearman","0.411076237724005","0.001","0.001","0.21713413842146,0.589645003090523","84"
"CCLE","GDSC","Lapatinib","AUC_IC50_adj","pearson","0.555235040669652","0.001","0.001","0.218510517024236,0.789826202891971","84"
"CCLE","GDSC","Lapatinib","AUC_IC50_adj","spearman","0.474408951147093","0.001","0.001","0.261846077050395,0.653106841268088","84"
"CCLE","GDSC","Paclitaxel","EC50","pearson",NA,NA,NA,"NA","86"
"CCLE","GDSC","Paclitaxel","EC50","spearman","0.364899716974552","0.001","0.001","0.154150636209579,0.551775936877162","86"
"CCLE","GDSC","Paclitaxel","IC50","pearson",NA,NA,NA,"NA","86"
"CCLE","GDSC","Paclitaxel","IC50","spearman","0.384939512679254","0.001","0.001","0.1738446488326,0.540056982025556","86"
"CCLE","GDSC","Paclitaxel","AUC_EC50","pearson","0.215424586169339","0.031","0.022","0.0200837437146184,0.402614546973992","86"
"CCLE","GDSC","Paclitaxel","AUC_EC50","spearman","0.318118779187698","0.003","0.005","0.0855427998013364,0.522689646245438","86"
"CCLE","GDSC","Paclitaxel","AUC_IC50","pearson","0.181796723934817","0.049","0.054","-0.0119510282750547,0.3643190214581","86"
"CCLE","GDSC","Paclitaxel","AUC_IC50","spearman","0.264738902778433","0.00600000000000001","0.00700000000000001","0.0371181206320263,0.466583999483017","86"
"CCLE","GDSC","Paclitaxel","AUC_EC50_adj","pearson","0.387664522501089","0.001","0.001","0.194741316008443,0.558976719521726","86"
"CCLE","GDSC","Paclitaxel","AUC_EC50_adj","spearman","0.412727015425256","0.001","0.001","0.197434538201462,0.603002330129639","86"
"CCLE","GDSC","Paclitaxel","AUC_IC50_adj","pearson","0.379825692363655","0.001","0.001","0.175548283183613,0.565381998880152","86"
"CCLE","GDSC","Paclitaxel","AUC_IC50_adj","spearman","0.382329355158262","0.001","0.001","0.177556835775882,0.565840363406323","86"
"CCLE","GDSC","PHA-665752","EC50","pearson",NA,NA,NA,"NA","89"
"CCLE","GDSC","PHA-665752","EC50","spearman","0.307378418632729","0.00700000000000001","0.00914634146341464","-0.0242302483871886,0.540189590085618","89"
"CCLE","GDSC","PHA-665752","IC50","pearson",NA,NA,NA,"NA","89"
"CCLE","GDSC","PHA-665752","IC50","spearman","0.280633733884774","0.016","0.0131445904954499","-0.0445383314103064,0.534224874252168","89"
"CCLE","GDSC","PHA-665752","AUC_EC50","pearson","0.0433689458687783","0.319","0.32","-0.185918654312897,0.268868162293741","89"
"CCLE","GDSC","PHA-665752","AUC_EC50","spearman","0.0337078651685393","0.388","0.386","-0.178457749655544,0.236313898169693","89"
"CCLE","GDSC","PHA-665752","AUC_IC50","pearson","0.0662212579780652","0.248","0.262","-0.177222039549214,0.303784348002015","89"
"CCLE","GDSC","PHA-665752","AUC_IC50","spearman","-0.0276132107592782","0.42","0.403","-0.240041276299208,0.196683956458094","89"
"CCLE","GDSC","PHA-665752","AUC_EC50_adj","pearson","0.0100541876783251","0.403","0.425","-0.178215982068643,0.226982278249958","89"
"CCLE","GDSC","PHA-665752","AUC_EC50_adj","spearman","-0.0590057882192714","0.306","0.304","-0.286161245541594,0.158129235213584","89"
"CCLE","GDSC","PHA-665752","AUC_IC50_adj","pearson","-0.00358498384610673","0.55","0.531","-0.190166975259943,0.222885867338623","89"
"CCLE","GDSC","PHA-665752","AUC_IC50_adj","spearman","-0.0541664138519056","0.31","0.322","-0.263421244349791,0.181158447317621","89"
"CCLE","GDSC","Saracatinib","EC50","pearson",NA,NA,NA,"NA","89"
"CCLE","GDSC","Saracatinib","EC50","spearman","0.267755955844089","0.01","0.00800000000000001","0.0379887391174522,0.49168208383203","89"
"CCLE","GDSC","Saracatinib","IC50","pearson",NA,NA,NA,"NA","89"
"CCLE","GDSC","Saracatinib","IC50","spearman","0.293705792145454","0.00700000000000001","0.004","0.02797738349492,0.528372531869356","89"
"CCLE","GDSC","Saracatinib","AUC_EC50","pearson","0.497782010504165","0.001","0.001","0.27321329150932,0.69066813904544","89"
"CCLE","GDSC","Saracatinib","AUC_EC50","spearman","0.42184201566224","0.001","0.001","0.22967906581581,0.593217705126398","89"
"CCLE","GDSC","Saracatinib","AUC_IC50","pearson","0.481880399088655","0.001","0.001","0.249333113753187,0.686481374994366","89"
"CCLE","GDSC","Saracatinib","AUC_IC50","spearman","0.41220633299285","0.001","0.001","0.198999053054913,0.594520317813195","89"
