"","DepMap_ID","CCL_name","COSMIC_ID","TCGA_combine","TCGA_manual","primary_DepMap","subtype_DepMap","primary_site_CTRP","primary_hist_CTRP","subtype_CTRP","tissue1_GDSC","tissue2_GDSC","TCGA_CCLE","TCGA_GDSC"
"1","ACH-001401","SW13",909744,"ACC",NA,"Adrenal Cancer","Carcinoma",NA,NA,NA,"kidney","adrenal_gland","ACC","ACC"
"2","ACH-000018","T24",724812,"BLCA",NA,"Bladder Cancer","Carcinoma","urinary_tract","carcinoma","transitional_cell_carcinoma","urogenital_system","Bladder","BLCA","BLCA"
"3","ACH-000724","HT1376",907066,"BLCA",NA,"Bladder Cancer","Carcinoma","urinary_tract","carcinoma","transitional_cell_carcinoma","urogenital_system","Bladder","BLCA","BLCA"
"4","ACH-000896","647V",906797,"BLCA",NA,"Bladder Cancer","Carcinoma","urinary_tract","carcinoma","transitional_cell_carcinoma","urogenital_system","Bladder","BLCA","BLCA"
"5","ACH-000011","253J",NA,"BLCA",NA,"Bladder Cancer","Carcinoma","urinary_tract","carcinoma","transitional_cell_carcinoma",NA,NA,"BLCA",NA
"6","ACH-000026","253JBV",NA,"BLCA",NA,"Bladder Cancer","Carcinoma","urinary_tract","carcinoma","transitional_cell_carcinoma",NA,NA,"BLCA",NA
"7","ACH-001011","ACCS",NA,"BLCA",NA,"Bladder Cancer","Carcinoma","urinary_tract","carcinoma","transitional_cell_carcinoma",NA,NA,"BLCA",NA
"8","ACH-000547","HT1197",907065,"BLCA",NA,"Bladder Cancer","Carcinoma","urinary_tract","carcinoma",NA,"urogenital_system","Bladder","BLCA","BLCA"
"9","ACH-000753","JMSU1",NA,"BLCA",NA,"Bladder Cancer","Carcinoma","urinary_tract","carcinoma",NA,NA,NA,"BLCA",NA
"10","ACH-000862","KMBC2",NA,"BLCA",NA,"Bladder Cancer","Carcinoma","urinary_tract","carcinoma",NA,NA,NA,"BLCA",NA
"11","ACH-001183","RT11284",NA,"BLCA",NA,"Bladder Cancer","Carcinoma","urinary_tract","carcinoma",NA,NA,NA,"BLCA",NA
"12","ACH-002235","DSH1",753552,"BLCA",NA,"Bladder Cancer","Carcinoma",NA,NA,NA,"urogenital_system","Bladder","BLCA","BLCA"
"13","ACH-002266","LB831BLC",753584,"BLCA",NA,"Bladder Cancer","Carcinoma",NA,NA,NA,"urogenital_system","Bladder","BLCA","BLCA"
"14","ACH-000839","SCABER",NA,"BLCA",NA,"Bladder Cancer","Squamous Cell Carcinoma","urinary_tract","carcinoma","transitional_cell_carcinoma",NA,NA,"BLCA",NA
"15","ACH-000142","CAL29",1290730,"BLCA",NA,"Bladder Cancer","Transitional Cell Carcinoma","urinary_tract","carcinoma","transitional_cell_carcinoma","urogenital_system","Bladder","BLCA","BLCA"
"16","ACH-000384","SW780",687457,"BLCA",NA,"Bladder Cancer","Transitional Cell Carcinoma","urinary_tract","carcinoma","transitional_cell_carcinoma","urogenital_system","Bladder","BLCA","BLCA"
"17","ACH-000396","J82",753566,"BLCA",NA,"Bladder Cancer","Transitional Cell Carcinoma","urinary_tract","carcinoma","transitional_cell_carcinoma","urogenital_system","Bladder","BLCA","BLCA"
"18","ACH-000473","RT112",909704,"BLCA",NA,"Bladder Cancer","Transitional Cell Carcinoma","urinary_tract","carcinoma","transitional_cell_carcinoma","urogenital_system","Bladder","BLCA","BLCA"
"19","ACH-000486","KU1919",907312,"BLCA",NA,"Bladder Cancer","Transitional Cell Carcinoma","urinary_tract","carcinoma","transitional_cell_carcinoma","urogenital_system","Bladder","BLCA","BLCA"
"20","ACH-000522","UMUC3",724838,"BLCA",NA,"Bladder Cancer","Transitional Cell Carcinoma","urinary_tract","carcinoma","transitional_cell_carcinoma","urogenital_system","Bladder","BLCA","BLCA"
"21","ACH-000545","VMCUB1",909780,"BLCA",NA,"Bladder Cancer","Transitional Cell Carcinoma","urinary_tract","carcinoma","transitional_cell_carcinoma","urogenital_system","Bladder","BLCA","BLCA"
"22","ACH-000566","SW1710",909749,"BLCA",NA,"Bladder Cancer","Transitional Cell Carcinoma","urinary_tract","carcinoma","transitional_cell_carcinoma","urogenital_system","Bladder","BLCA","BLCA"
"23","ACH-000720","TCCSUP",687459,"BLCA",NA,"Bladder Cancer","Transitional Cell Carcinoma","urinary_tract","carcinoma","transitional_cell_carcinoma","urogenital_system","Bladder","BLCA","BLCA"
"24","ACH-000973","639V",906798,"BLCA",NA,"Bladder Cancer","Transitional Cell Carcinoma","urinary_tract","carcinoma","transitional_cell_carcinoma","urogenital_system","Bladder","BLCA","BLCA"
"25","ACH-000593","BC3C",NA,"BLCA",NA,"Bladder Cancer","Transitional Cell Carcinoma","urinary_tract","carcinoma","transitional_cell_carcinoma",NA,NA,"BLCA",NA
"26","ACH-000741","UBLC1",NA,"BLCA",NA,"Bladder Cancer","Transitional Cell Carcinoma","urinary_tract","carcinoma","transitional_cell_carcinoma",NA,NA,"BLCA",NA
"27","ACH-000834","UMUC1",NA,"BLCA",NA,"Bladder Cancer","Transitional Cell Carcinoma","urinary_tract","carcinoma","transitional_cell_carcinoma",NA,NA,"BLCA",NA
"28","ACH-000802","BFTC905",910926,"BLCA",NA,"Bladder Cancer","Transitional Cell Carcinoma, papillary","urinary_tract","carcinoma","transitional_cell_carcinoma","urogenital_system","Bladder","BLCA","BLCA"
"29","ACH-000242","RT4",687455,"BLCA",NA,"Bladder Cancer","Transitional Cell Papilloma","urinary_tract","carcinoma","transitional_cell_carcinoma","urogenital_system","Bladder","BLCA","BLCA"
"30","ACH-000905","5637",687452,"BLCA",NA,"Bladder Cancer","Unknown","urinary_tract","carcinoma",NA,"urogenital_system","Bladder","BLCA","BLCA"
"31","ACH-000516","CAL78",1290765,"SARC",NA,"Bone Cancer","Chondrosarcoma","bone","chondrosarcoma","dedifferentiated","bone","chondrosarcoma","SARC",NA
"32","ACH-000224","HS819T",NA,"SARC",NA,"Bone Cancer","Chondrosarcoma","bone","chondrosarcoma",NA,NA,NA,"SARC",NA
"33","ACH-000418","SW1353",NA,"SARC",NA,"Bone Cancer","Chondrosarcoma","bone","chondrosarcoma",NA,NA,NA,"SARC",NA
"34","ACH-001150","OUMS27",NA,"SARC",NA,"Bone Cancer","Chondrosarcoma","bone","chondrosarcoma",NA,NA,NA,"SARC",NA
"35","ACH-000210","CADOES1",753539,"SARC",NA,"Bone Cancer","Ewings Sarcoma","bone","Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor",NA,"bone","ewings_sarcoma","SARC",NA
"36","ACH-000391","MHHES1",908134,"SARC",NA,"Bone Cancer","Ewings Sarcoma","bone","Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor",NA,"bone","ewings_sarcoma","SARC",NA
"37","ACH-000087","SKES1",684072,"SARC",NA,"Bone Cancer","Ewings Sarcoma","bone","Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor",NA,"bone","ewings_sarcoma","SARC",NA
"38","ACH-000424","TC71",1240221,"SARC",NA,"Bone Cancer","Ewings Sarcoma","bone","Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor",NA,"bone","ewings_sarcoma","SARC",NA
"39","ACH-000052","A673",684052,"SARC",NA,"Bone Cancer","Ewings Sarcoma","bone","Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor",NA,"soft_tissue","rhabdomyosarcoma","SARC",NA
"40","ACH-000041","RDES",NA,"SARC",NA,"Bone Cancer","Ewings Sarcoma","bone","Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor",NA,NA,NA,"SARC",NA
"41","ACH-000039","SKNMC",NA,"SARC",NA,"Bone Cancer","Ewings Sarcoma","bone","Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor",NA,NA,NA,"SARC",NA
"42","ACH-002160","MCIXC",908118,"NB",NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,"neuroblastoma","neuroblastoma","NB","NB"
"43","ACH-001192","SKNEP1",NA,"KIRC",NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,NA,NA,"KIRC",NA
"44","ACH-000082","G292CLONEA141B1",1290807,"SARC",NA,"Bone Cancer","Osteosarcoma","bone","osteosarcoma",NA,"bone","osteosarcoma","SARC",NA
"45","ACH-000359","MG63",908131,"SARC",NA,"Bone Cancer","Osteosarcoma","bone","osteosarcoma",NA,"bone","osteosarcoma","SARC",NA
"46","ACH-000364","U2OS",909776,"SARC",NA,"Bone Cancer","Osteosarcoma","bone","osteosarcoma",NA,"bone","osteosarcoma","SARC",NA
"47","ACH-000410","SAOS2",909707,"SARC",NA,"Bone Cancer","Osteosarcoma","bone","osteosarcoma",NA,"bone","osteosarcoma","SARC",NA
"48","ACH-000613","HOS",907060,"SARC",NA,"Bone Cancer","Osteosarcoma","bone","osteosarcoma",NA,"bone","osteosarcoma","SARC",NA
